trial_id,frame_id,event_type,unix_time,unity_time,object_label,expected_class_id,expected_class_name,yolo_available,detected_class_id,detected_class_name,confidence,class_match,roi_source,anchor_label,n_raw,n_filtered,voxel_size_m,pose_mode,shape,stability,center_cam_x,center_cam_y,center_cam_z,center_world_x,center_world_y,center_world_z,right_x,right_y,right_z,up_x,up_y,up_z,fwd_x,fwd_y,fwd_z,extent_x,extent_y,extent_z,geo_conf,orient_conf,track_conf,overall_conf,t_detect_ms,t_cloud_ms,t_pose_ms,t_export_ms,t_e2e_ms,replacement_enabled,model_name,ply_path,success,fail_reason
cup_20260821_130834,1,realtime,1787288914.814,31.522,cup,41,cup,1,41,cup,0.810,1,YOLO ROI,mask center flat,1589,345,0.0100,SurfaceObject,Elongated,Stable,0.0108,0.0090,0.8185,0.0348,-0.1738,0.7103,-1.0000,-0.0021,0.0000,-0.0020,0.9733,-0.2294,0.0005,-0.2294,-0.9733,0.4683,0.2118,0.1439,1.000,1.000,0.818,0.918,9.23,5.37,0.21,0.00,5.92,1,酒 (scene),,1,
cup_20260821_130834,2,realtime,1787288915.314,32.022,cup,41,cup,1,41,cup,0.843,1,YOLO ROI,mask center flat,1554,314,0.0100,SurfaceObject,Elongated,Stable,0.0097,0.0066,0.7992,0.0338,-0.1741,0.6905,-1.0000,-0.0001,0.0000,-0.0001,0.9727,-0.2320,0.0000,-0.2320,-0.9727,0.4191,0.2056,0.1634,1.000,1.000,0.756,0.890,9.15,5.27,0.16,0.00,5.56,1,酒 (scene),,1,
cup_20260821_130834,3,realtime,1787288915.818,32.523,cup,41,cup,1,41,cup,0.777,1,YOLO ROI,mask center flat,2297,519,0.0100,SurfaceObject,Elongated,Stable,0.0084,0.0162,0.8245,0.0326,-0.1739,0.7172,-1.0000,0.0012,0.0000,0.0012,0.9720,-0.2352,-0.0003,-0.2352,-0.9720,0.3961,0.2011,0.1890,1.000,1.000,0.491,0.771,12.97,5.24,0.17,0.00,5.66,1,酒 (scene),,1,
cup_20260821_130834,4,realtime,1787288916.317,33.023,cup,41,cup,1,41,cup,0.765,1,YOLO ROI,mask center flat,1770,365,0.0100,SurfaceObject,Elongated,Stable,0.0151,0.0322,0.8532,0.0327,-0.1741,0.7484,-1.0000,-0.0029,0.0000,-0.0028,0.9701,-0.2426,0.0007,-0.2426,-0.9701,0.3067,0.1862,0.1248,1.000,1.000,0.607,0.823,12.04,5.30,0.14,0.00,5.54,1,酒 (scene),,1,
